Companies,Years on 100 Best list,Total number of US employees,Percentage of employees who are women (score,Percentage of employees who are women,Percentage of managers and executives who are women (score),Percentage of managers and executives who are women,Percentage of new hires who are women (score),Percentage of new hires who are women,Average representation score,Representation Score ,Maternal Paid Leave Score,Fully paid weeks off for new moms,Fully Paid weeks off for new dads,Flly paid weeks off for adoptive parents,Company offers backup childcare,Company subsidizes backup eldercare,Family Support Score,Family Support Score,Percentage of female employees who participate in career counseling,Percentage of female employees who participatein management/leadership training,Percentage of female employees who participate in mentoring,Average Advancement Percentage,Percentage of employees who telecommute,Managers trained to manage work-life and flexibility concerns of employees,Industry,Top Scoring Companies
MassMutual Financial Group,17,"7,397",5,0.55,4,0.46,5,0.53,0.51,14,0.192307692,5,3,3,,0,0,0,,0.06,0.15,0.11,,1,Hospitals/Healthcare,0.81
Kimberly-Clark,1,"12,263",2,0.29,3,0.35,4,0.49,0.38,9,0.269230769,7,4,4,0,0,0,0,0.47,0.18,0.13,0.26,0.50,1,Hospitals/Healthcare,0.91
Boston Scientific,1,"13,471",4,0.42,3,0.34,3,0.39,0.38,10,0.230769231,6,2,6,0,1,0.5,1,,,,,0.50,1,Financial Services,1.11
Baptist Health South Florida        25,25,"14,564",7,0.72,6,0.68,7,0.71,0.70,20,0.038461538,1,1,1,0,0,0,0,1.00,0.13,0.00,0.38,0.30,1,Financial Services,1.12
Texas Instruments,20,"11,673",2,0.23,2,0.20,2,0.23,0.22,6,0.307692308,8,2,4,1,0,0.5,1,0.20,0.20,0.31,0.24,0.58,1,Insurance,1.26
CA Technologies,10,"5,429",3,0.31,2,0.28,3,0.33,0.31,8,0.692307692,18,12,12,0,0,0,0,0.54,0.26,0.10,0.30,0.60,1,Financial Services,1.30
General Mills,22,"14,734",3,0.39,4,0.47,3,0.38,0.41,10,0.076923077,2,2,2,1,0,0.5,1,0.66,0.05,0.34,0.35,—,1,Hospitals/Healthcare,1.34
Intel,15,"52,701",2,0.26,1,0.16,3,0.33,0.25,6,0.307692308,8,8,8,1,0,0.5,1,0.39,,0.27,0.33,0.80,1,Professional Services,1.39
Bristol-Myers Squibb,20,"12,535",5,0.50,4,0.46,5,0.51,0.49,14,0.230769231,6,1,5,1,0,0.5,1,,0.24,0.10,0.17,0.75,1,Professional Services,1.39
Roche Diagnostics,4,"4,502",4,0.45,4,0.41,4,0.46,0.44,12,0.384615385,10,8,8,1,0,0.5,1,0.05,0.04,0.18,0.09,0.25,1,Professional Services,1.41
SC Johnson        25,29,"2,858",4,0.41,3,0.37,4,0.43,0.40,11,0.076923077,2,2,2,1,0,0.5,1,0.52,0.35,,0.44,0.17,0,Pharmaceutical,1.42
Boehringer Ingelheim USA,6,"10,536",5,0.51,4,0.48,4,0.49,0.49,13,0.307692308,8,2,2,1,0,0.5,1,0.12,0.22,0.01,0.12,1.00,1,Technology,1.42
Horizon Blue Cross Blue Shield of NJ,8,"5,401",7,0.77,6,0.61,7,0.74,0.71,20,0.230769231,6,2,2,1,0,0.5,1,0.04,0.03,0.03,0.03,0.20,1,Telecommunications,1.47
UBS,10,20149,3,0.38,3,0.30,4,0.44,0.37,10,0.615384615,16,2,16,1,0,0.5,1,,,,,0.68,0,Publishing,1.49
RSM,6,"9,775",4,0.45,3,0.37,4,0.47,0.43,11,0.269230769,7,3,3,,1,0.5,1,0.31,0.17,0.49,0.32,0.95,1,Manufacturing,1.52
New York Life Insurance,14,"8,074",5,0.54,4,0.43,5,0.53,0.50,14,0.384615385,10,4,4,1,0,0.5,1,0.08,0.30,0.12,0.17,0.87,1,Financial Services,1.55
Herman Miller,7,"4,621",3,0.39,3,0.32,4,0.45,0.39,10,0.076923077,2,2,2,1,1,1,2,,0.10,,0.10,0.45,1,Manufacturing,1.56
